Class1,Class2,StringMatch,Duplicate,Ontology1,Ontology2,Score
format_3547,ImageFormat,False,True,http://edamontology.org,https://w3id.org/reproduceme,0
topic_3168,Sequencing,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
format_1915,ImageFormat,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
data_2316,CellLine,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
data_2140,Concentration,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
operation_3798,Binning,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
data_1692,Person,False,False,http://edamontology.org,http://www.w3.org/ns/prov,0
data_2968,Image,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
data_3108,Measurement,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
data_3275,Phenotype,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
OperatingSystem,SWO_0000021,False,True,http://dockerpedia.inf.utfsm.cl/vocab,http://www.ebi.ac.uk/swo,0
Image,data_2968,False,True,http://dockerpedia.inf.utfsm.cl/vocab,http://edamontology.org,0
